Nombre,Comuna,Direccion,Tipos,Lng,Lat,Ciudad,Icono,Id
Alto Las Condes,Las Condes,"Av. Pdte. Kennedy Lateral 9001, Las Condes, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.390815,-70.545992,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJJbk1aLTOYpYRZPW8D7EnOc0
Parque Arauco,Las Condes,"Av Presidente Kennedy 5413, Las Condes, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.4021934,-70.57824939999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJRwJopCjPYpYRFLSKf8FBgSc
Museo Interactivo Las Condes (MUI),Las Condes,"Isidora Goyenechea 3400, Las Condes, Región Metropolitana","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-33.4143982,-70.5953876,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJh1I5zD_PYpYRs277RZ4bOyA
Museo Escuela Militar,Las Condes,"Av. Pdte. Riesco 4601, Las Condes, Región Metropolitana","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-33.4119391,-70.58381949999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJIREieiPPYpYRDfE8jevbdcM
Casona Santa Rosa de Apoquindo,Las Condes,"Padre Hurtado Sur 1195, Las Condes, Región Metropolitana","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",-33.4190416,-70.5392133,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJL1R2YIXOYpYRCSUJS6wMifI
Museo de la chilenidad,Las Condes,"Padre Hurtado Sur 1195, Las Condes, Región Metropolitana","['museum', 'point_of_interest', 'establishment']",-33.4188996,-70.53818009999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJKfZUM7PPYpYRo_jQm9OjKJg
La Chascona,Providencia,"Fernando Márquez de La Plata 0192, Santiago, Providencia, Región Metropolitana","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-33.4311212,-70.6344175,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJbWHLF5DFYpYRFqGp8hFH-04
Museo Chileno de Arte Precolombino,Santiago,"Bandera 361, Santiago, Región Metropolitana","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-33.4389304,-70.6521053,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJ58cpbKTFYpYRw3pfdBEEHEQ
Museo Ralli Santiago,Santiago,"Calle Alonso de Sotomayor 4110, Vitacura, Santiago, Región Metropolitana","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",-33.3970153,-70.5917616,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJA3FMjDPPYpYRJ8Rs-oaMjXA
Museo Parque de las Esculturas,Providencia,"Av. Sta. María 2205, Providencia, Región Metropolitana","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",-33.4200134,-70.61299129999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJTxiMAGHPYpYRQRXT180PSEM
Museo Nacional de Bellas Artes,Santiago,"José Miguel de La Barra 650, Santiago, Región Metropolitana","['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",-33.4353465,-70.643551,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJ34hkUJjFYpYRukdH5TMSJsQ
Estadio San Carlos de Apoquindo,Las Condes,"Circunvalación Las Flores 13000, Las Condes, Región Metropolitana","['stadium', 'point_of_interest', 'establishment']",-33.3960344,-70.50053969999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJ5aKnaRrMYpYR6GCUd2dBYHA
Estadio Las Condes,Las Condes,"Av. las Condes 11.755, Las Condes, Región Metropolitana","['gym', 'stadium', 'health', 'point_of_interest', 'establishment']",-33.3750354,-70.5217509,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJm7GN1v3LYpYRoXi3Euj1Csw
Estadio San Jorge,Las Condes,"Paul Harris 9388, Las Condes, Región Metropolitana","['stadium', 'point_of_interest', 'establishment']",-33.3920106,-70.5365334,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJIyV6T67OYpYRK3_R6RLk4u4
Centro Médico y Dental RedSalud Quilicura,Quilicura,"O'Higgins 581, Local 67, Quilicura, Región Metropolitana","['hospital', 'dentist', 'health', 'point_of_interest', 'establishment']",-33.3602185,-70.7295622,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,ChIJ3ZaOmtnAYpYReIzVXBoAkXM
Mutual de Seguridad,Quilicura,"Pdte Eduardo Frei Montalva 7500, Quilicura, Región Metropolitana","['hospital', 'point_of_interest', 'establishment']",-33.3648942,-70.7018442,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/doctor-71.png,ChIJX0KfqN3GYpYRrlNU9jFA18w
Biblioteca Municipal de Quilicura,Quilicura,"O'Higgins 281, Quilicura, Región Metropolitana","['library', 'point_of_interest', 'establishment']",-33.3664962,-70.7307459,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,ChIJZUTsQsXAYpYRdNrCbLcB3dg
Arauco Premium Outlet Buenaventura,Quilicura,"San Ignacio 500 Y 300, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.3320303,-70.7035477,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJ2wJIr1DHYpYRjy660q7bjhk
Mall Arauco Quilicura,Quilicura,"Av. Bernardo O'Higgins 581, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.3683552,-70.7300176,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJs0_dJrjAYpYRcNBIAVe1rZE
Easton Outlet Mall,Quilicura,"Pdte Eduardo Frei Montalva, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.3346543,-70.71235899999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJ6-A5HEzHYpYR6FpaJ_wvLx4
Outlet Buenaventura,Quilicura,"San Ignacio 800, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.3322602,-70.7081347,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJL_6zIVHHYpYRENHagXufw5o
